被评人工号,一级组织,二级组织,三级组织,四级组织,五级组织,六级组织,被评人问卷,关系,评估人工号,理解公司战略并洞察本领域的内外部环境，识别风险点和挖掘业务增长的机会点,根据年度战略规划进行系统思考，梳理本部门的策略和重点工作事项，并制定具体可执行的计划,根据部门重点工作目标和资源现状，平衡效益和风险，在工作中做出正确判断和行动，快速推动战略落地,主动识别和记录业务管理中遇到的问题和挑战，创造性地提出改进设想并推动落地,在日常工作中，积极采取新措施和尝试新方法，持续提升工作效率,积极倾听部门成员的创新想法，建立激励机制，奖励成功实施创新想法的个人或团队，同时认可那些虽未成功但勇于尝试的创新行为,主动地学习、理解和尊重不同文化，持续提升自身的国际化视野,认识到不同视角、立场或文化带来的价值和风险，结合对各地区差异的理解，形成合理的管理机制,有效地发挥跨部门影响力，链接跨部门资源，推进复杂问题的解决,把响应客户需求作为首要任务，积极倾听，快速响应内外部客户的需求,帮助内外部客户解决问题，确保最终的产品或服务让客户满意,深入洞察，持续跟踪内外部客户需求及满足情况，建立稳定良好的客户关系,主动探索和学习本领域相关的数字化技术、AI等，引入至部门工作中，有效提升工作效率,积极参与公司数字化项目，助力公司数字化变革成功,根据部门目标，制定部门内部及跨部门的工作流程和沟通协作机制，促进工作高效开展,梳理部门成员能力现状，合理规划人才队伍，建立人才梯队,为部门设立高绩效标准，通过授权、激励、辅导等形式，挖掘员工潜力，带领部门持续打胜仗,在部门内营造良好的学习氛围，结合部门需求与员工的发展意愿，为团队成员提供多样的学习和挑战机会,对员工表现给予及时反馈，表扬优秀与进步，对于不足之处提供合理的改进建议，从而帮助员工持续提升工作表现与能力,主动识别需要完成的任务并积极采取行动，不会被动等待他人的要求,以结果为导向，并能够在过程中合理规划人力、时间、预算等各项资源，及时跟进落地情况，不断推动结果达成,深刻理解公司文化内涵，以身作则，积极践行并主动传播文化价值观，保持其日常行为与价值观导向高度一致,重视文化建设，关注员工体验，将部门日常工作与公司文化紧密结合，积极参与并推进文化传播活动，表彰积极践行文化的行为，在部门内营造良好的文化氛围,以坦诚精神、言出必行和公开透明的作风，建立与同事间的信赖和信任感，构建简单、互信、尊重、友爱的人际关系,自觉维护团结，能够顾全大局，多帮助多补位,树立“合规”意识，带头践行合规文化，将合规理念贯穿于日常经营行动的每一个环节,杜绝官僚主义作风，不拉帮结派，不搞权力斗争，不任人唯亲，不默认、纵容下属的任何迎合和奉承行为,树立道德高线，严守纪律底线,请列举2-3个您认为被评估人表现出色并值得他人学习的行为。,请指出2-3个您认为被评估人有可发展空间的方面，并提供具体的发展建议。,您对被评估人的其他建议？,司龄,年龄,直接下属人数,上一次晋升时间,一级序列,二级序列,去年年度绩效数据
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10036866,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,专业、认真、严谨,暂无,暂无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10043297,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,3,5,4,5,5,5,5,5,5,5,5,"1.积极推动数字化平台建设
2.重视跨国文化学习",无,无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10042193,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,"1. 善于沟通  
2. 敢于担当  
3. 赋能团队",无,无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10042025,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,大力推动数字化,无,无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10042129,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.解决问题有大局观，善于发现问题所在并指导团队解决问题；2.做事有条理有规划，乐于听取下级意见。,建议在团队日常繁忙之余，为成员创造一些跨模块轮岗或海外专项历练的机会，既能拓宽人才储备，也能让团队保持新鲜感和进取心。,暂无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10041481,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,能够在下属遇到跨部门工作难题时提供必要的协助；能够经常分享作为过来人的职场经验；,无,无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10031677,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,"1.积极推动数字化变革，引入AI等其他技术提升工作效率
2.领导力较强，带领团队拓宽国际化视野",无,无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10031612,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,国际化能力，跨文化沟通能力，将新思路和新技术应用不断应用到工作之中。,建议后续多开展团队经验分享，进一步沉淀管理方法，带动整体团队能力提升；保持务实担当的风格，进一步提升精细化管理和过程指导。,无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10031824,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,对全球化有深刻理解，善于组织协调各方,无,无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10031797,5,5,5,5,5,4,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,"1.统筹格局强，大局把控能力突出领导具备很强的全局管理思维和顶层统筹意识，擅长向上对接、对外协调资源，人际关系与商务沟通能力十分出众。面对复杂工作局面和外部对接事宜时，谈吐得体、逻辑清晰、口才出众，能快速稳住局面、维护团队对外形象，也善于把握工作风向与潜在风险，风控意识强，站位高、考虑周全，非常值得我们学习处事格局和大局思维。
2.行事稳重有分寸，职场格局成熟为人处世成熟老练，深谙职场规则，遇事善于权衡利弊、规避风险，自我边界感和保护意识强。在向上汇报、跨部门沟通中总能精准把握分寸，能很好争取上层领导认可与支持，也擅长把控工作节奏，在团队方向引领、人际关系维系上有独到优势，处事方式值得借鉴。
3.团队引领有气场，带队凝聚力足管理风格干练有魄力，个人气场足，日常统筹分工条理清晰，善于把控团队整体工作导向。沟通表达感染力强，对内对外都能清晰传递工作思路，在资源整合、人际交际、场面把控上能力突出，具备优秀管理者的综合素养。","1.下沉一线实操赋能有待加强建议后续可适当多深入基层具体业务环节，多参与一线实际工作落地，进一步夯实专业业务功底。在统筹管理之余，多结合实操细节指导下属，既能进一步提升自身专业沉淀，也能更精准给到团队业务实操帮扶，带动整体业务能力提升。
2.日常沟通方式可更亲和包容建议在日常工作对接、下属工作指导中，多采用更温和包容的沟通方式，放缓沟通语气、多倾听基层员工的想法与诉求。既能进一步拉近团队距离、提升员工归属感与工作积极性，也能让团队氛围更融洽，提升整体协作效率。","建议后续在团队管理中，多侧重务实落地、结果导向，把优秀的对外交际和格局优势，更多转化为团队实际工作成果，以实绩引领团队发展。
希望后续能多给予下属自主发挥、成长历练的空间，多包容试错，以更亲和的管理风格凝聚团队向心力，进一步提升整体团队战斗力和稳定性。",3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10012125,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,领导工作能力突出，处事沉稳干练，目标把控精准。以身作则、责任心强，待人公正谦和，无论是业务统筹还是团队管理都极具章法，是大家学习的榜样。,综合能力扎实，视野开阔，在战略布局、跨部门统筹上仍有较大提升空间，未来发展潜力十足,无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10000045,4,4,5,4,3,4,4,4,3,3,4,4,4,5,3,4,4,4,4,4,5,3,3,5,4,5,5,5,跨部门/组工作衔接，能有效把控节点及组员的专业特长,数智管理见解高，能高效完成并提出风控点,是位值得尊敬的领导，行为低调，做事效率高，提出问题能第一时间给予解答。,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10014208,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1、不吝啬对下属的即时表扬与鼓励；2、营造好的学习氛围，比如开展了英语角活动，激发团队学习积极性，自我提升。,无。,无。,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,下级,10000451,4,3,3,2,3,3,3,5,2,4,3,2,3,4,3,2,3,3,2,3,4,3,2,2,3,3,2,4,"沟通能力很强
善于规避管理风险",提升领导力,无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,上级,10007421,4,5,5,5,5,4,4,4,5,5,5,4,5,5,4,5,4,5,4,5,5,4,4,4,4,5,5,5,结果导向、不惧挑战、快速行动,增强协同、耐心辅导、增强领导力,暂无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,协同方,10017146,5,5,5,4,3,3,4,4,3,5,4,5,,,,,,,,4,3,4,3,4,5,5,5,5,愿意推动有挑战性工作。,多倾听他人诉求。,提升创新思维。,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,协同方,10009367,4,4,4,4,4,3,4,4,4,4,3,4,,,,,,,,4,3,3,3,4,3,4,4,4,"跨部门协作上积极沟通协调，推动项目进行，合作较愉快有效率
",多一些对下属员工的关怀，管理有温度,暂无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,协同方,10021158,4,5,4,5,4,5,4,5,4,5,4,5,,,,,,,,4,5,4,5,4,5,4,5,4,培训能力佳,已经在向好的方面改变了，但协作成本较高。,增加柔性管理，多关爱下属,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,协同方,10015007,5,5,5,4,5,5,5,4,5,4,5,5,,,,,,,,5,5,5,4,4,5,5,5,5,坚守财务合规底线，同时善于换位思考，遇到跨部门争议事项能理性沟通、有理有据平衡各方诉求；财务专业功底扎实，对费用、税务、预算规则解读清晰，能提前做好风险提示，主动为业务及项目提供合规可行的财务解决方案,"1.业务前置参与度有待加强，多停留在事后审核把关，事前介入业务规划、项目前期研判偏少；
建议：主动前置介入新项目、重大合同、预算编制前期研讨，从财务视角提前给出成本、税务、回款风险建议，由事后管控转向事前赋能",提高业财联动赋能业务的深度,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,协同方,10001771,4,5,4,4,5,4,5,4,5,5,5,4,,,,,,,,4,4,5,4,5,4,4,5,5,无,无,无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,协同方,10040535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,协同方,10021383,3,4,3,3,3,2,3,3,2,3,3,2,,,,,,,,2,3,3,3,2,2,4,4,4,具备一定的国际化视野,建立单纯的沟通协作机制，从内部客户角度出发，满足双方需求。,无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,协同方,10012270,3,4,4,4,5,4,4,4,4,4,5,3,,,,,,,,3,4,4,4,3,4,5,4,5,"1. 在日常工作中积极探索优化方案，主动尝试新方法和新工具，持续提升工作效率与质量；
2. 主动协同内外部团队解决问题，注重结果导向，确保最终交付能够满足并提升客户满意度。",在推动海外业务方面起到了积极作用，建议针对部分会计核算基础相对薄弱的区域，进一步加强总部层面的专业支持与资源投入，以提升整体财务管理水平和核算质量。,五,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,协同方,10007851,4,4,4,3,3,4,4,3,3,3,3,3,,,,,,,,4,4,5,5,3,5,5,5,5,资源协调能力强。,共享业务进度及覆盖度待提升,暂无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,协同方,10044121,3,3,3,3,3,3,4,3,2,3,3,3,,,,,,,,3,2,3,3,3,3,3,3,3,暂无,暂无,暂无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,协同方,10029123,4,4,4,5,4,4,4,4,4,4,4,4,,,,,,,,4,5,4,4,4,4,5,4,4,"不畏困难，在难点问题迎难而上
对待下级同事也能积极听从意见","
团队建设加强，团队中人才梯队可逐步搭建",无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,协同方,10028428,3,3,3,4,5,4,5,5,4,4,4,4,,,,,,,,3,5,5,5,4,4,5,4,5,自信  善表达,成果导向  主动赋能  倾听  严谨,无,3.1,45,23,,财务,财务核算,A
10027592,财务中心,财务管理&共享,财务共享部,,,,执行层,自己,10027592,3,4,4,3,3,3,4,3,3,3,3,3,4,4,3,4,3,3,3,4,3,4,3,3,3,3,4,4,财经数字化转型推进、变革管理、人才梯队建设,大团队建设与领导力，包容与融合,.,3.1,45,23,,财务,财务核算,A
10000898,光储集团,光储技术平台,产品技术中心,网络安全技术部,,,执行层,协同方,10023351,4,3,4,3,3,4,4,4,3,3,3,3,,,,,,,,3,3,4,4,3,3,4,3,4,积极主动推动事情,跨团队协作信息透明上可以做的更好,暂无,16.6,42,3,12/16/2025,产品与研发,软件,A
10000898,光储集团,光储技术平台,产品技术中心,网络安全技术部,,,执行层,协同方,10006920,3,3,4,4,3,4,3,3,3,4,4,4,,,,,,,,3,3,4,3,5,4,4,4,5,1.对工作认真负载，对技术比较专注。,1.行业领域技术专家。,无,16.6,42,3,12/16/2025,产品与研发,软件,A
10000898,光储集团,光储技术平台,产品技术中心,网络安全技术部,,,执行层,协同方,10000924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,42,3,12/16/2025,产品与研发,软件,A
10042601,光储集团,营销体系,北美大区,人力资源部,,,执行层,上级,10010753,4,4,5,4,4,5,5,5,4,5,4,5,4,4,4,5,5,5,5,5,4,5,4,5,5,5,4,5,工作思路清晰，认真负责，积极性高，有效成为总部和海外大区之间、公司与员工之间的桥梁，能较好地传递阳光价值观。,业务发展进入不同阶段，可进一步加强响应业务需求的本地HR战略的思考，不仅有效解决当下业务痛点，还要升级人力资源体系和机制的建设，让HR的专业度有效促进业务成功。,无,1.1,45,5,,人力资源,——,A
10046881,储能技术研究所,,,,,,执行层,下级,10012350,4,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,以身作则，身先士卒；奋斗精神。,无,无,0.3,43,6,,赋能管理,赋能管理,
10036280,制造体系,总部交付中心,运营管理部,运营管理组,,,执行层,自己,10036280,4,5,5,4,4,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,5,5,5,5,5,5,"1、善于沟通，耐心倾听，能够快速共情，并能结合实际给予对话方反馈；
2、人员培养，能够结合岗位和人员的特点进行适配，并充分激发团队成员的创新热情，挖掘业务工作价值，让团队同事工作高效完成的同时，成就个人成长。","1、对于文化运营工作接触时间较短，领域的专业知识需持续学习；
2、在工作推进中需要更加坚定目标和任务，不受他人影响",无,1.8,35,0,,行政管理,综合行政,B+
10036280,制造体系,总部交付中心,运营管理部,运营管理组,,,执行层,协同方,10020662,5,5,5,4,5,5,5,5,5,4,4,4,,,,,,,,5,5,4,5,5,4,5,5,4,工厂年会现场主动各会场巡查确保晚会顺利开展。,对业务的深入了解还需持续,暂无,1.8,35,0,,行政管理,综合行政,B+
10036280,制造体系,总部交付中心,运营管理部,运营管理组,,,执行层,协同方,10013789,4,4,4,4,3,4,4,3,3,4,4,3,,,,,,,,4,4,4,5,5,4,5,2,5,沟通协同较好,聚焦运营工作，基于一线，多发现一线问题，同时树立一线标杆；,无,1.8,35,0,,行政管理,综合行政,B+
